Compassos,Description,Letra,Cifra,,Conf,Conf-Val
1,Contagem,Baqueta,,,,
4,Violão,,,,bpm,70
1,Entra vózes,"Jesus, em Tua presença",   E/G#          A2  ,,Tempo Por Compasso,4
1,,Reunimo-nos aqui,   B4         C#m,,,
1,,Contemplamos Tua face,  E/G#      A2     ,,,
1,,E rendemo-nos a Ti,  B4         E  B/D#,,,
1,,Pois um dia Tua morte,   C#m     E/G#    ,,,
1,,Trouxe vida a todos nós,  A2           E,,,
1,,E nos deu completo acesso,   E/G#          A2    ,,,
1,,Ao coração do Pai,    B4         E  B/D#,,,
1,Pré Refrão,E o véu que separava,,,,
1,,Já não separa mais,,,,
1,,A luz que outrora apagada,,,,
1,,Agora brilha,,,,
1,,E cada dia brilha mais,,,,

1,Refrão,Só pra te adorar,,,,
1,,E fazer Teu nome grande,,,,
1,,E Te dar o louvor que é devido,,,,
1,,Estamos nós aqui,,,,
0,,-,,,,
1,,"Jesus, em Tua presença",,,,
1,,Reunimo-nos aqui,,,,
1,,Contemplamos Tua face,,,,
1,,E rendemo-nos a Ti,,,,
1,,Pois um dia Sua morte,,,,
1,,Trouxe vida a todos nós,,,,
1,,E nos deu completo acesso,,,,
1,,Ao coração do Pai,,,,
0,,,,,,
1,,O véu que separava,,,,
1,,Já não separa mais,,,,
1,,A luz que outrora apagada,,,,
1,,Agora brilha,,,,
1,,E cada dia brilha mais,,,,
,,,,,,
,,Só pra te adorar,,,,
,,E fazer Teu nome grande,,,,
,,E Te dar o louvor que é devido,,,,
,,Estamos nós aqui,,,,
,,-,,,,
,,Só pra te adorar,,,,
,,E fazer Teu nome grande,,,,
,,E Te dar o louvor que é devido,,,,
,,Estamos nós aqui,,,,
,,,,,,
,,O véu que separava,,,,
,,Já não separa mais,,,,
,,A luz que outrora apagada,,,,
,,Agora brilha,,,,
,,E cada dia brilha mais,,,,
,,-,,,,
,,Só pra te adorar,,,,
,,E fazer Teu nome grande,,,,
,,E Te dar o louvor que é devido,,,,
,,Estamos nós aqui,,,,
,,,,,,
,,Só pra te adorar,,,,
,,E fazer Teu nome grande,,,,
,,E Te dar o louvor que é devido,,,,
,,Estamos nós aqui,,,,
